gis_survey_id,zoning_classification,master_plan_approval,property_tax_id
S.No 307/1,Residential,APPROVED,TAX-92148
S.No 307/2,Residential,APPROVED,TAX-95756
S.No 307/3,Residential,PENDING_APPROVAL,TAX-90369
S.No 307/4,Waterbody_Buffer,UNAPPROVED,TAX-65122
S.No 307/5,Commercial,APPROVED,TAX-56082
S.No 308/1,Waterbody_Buffer,UNAPPROVED,TAX-97706
S.No 308/2,Agricultural,PENDING_APPROVAL,TAX-56492
S.No 308/3,Agricultural,PENDING_APPROVAL,TAX-87529
S.No 308/4,Waterbody_Buffer,UNAPPROVED,TAX-90688
S.No 308/5,Residential,PENDING_APPROVAL,TAX-73859
S.No 309/1,Agricultural,PENDING_APPROVAL,TAX-82197
S.No 309/2,Waterbody_Buffer,UNAPPROVED,TAX-63743
S.No 309/3,Waterbody_Buffer,UNAPPROVED,TAX-80473
S.No 309/4,Commercial,APPROVED,TAX-69102
S.No 309/5,Agricultural,APPROVED,TAX-71119
S.No 310/1,Residential,APPROVED,TAX-69563
S.No 310/2,Residential,APPROVED,TAX-72615
S.No 310/3,Commercial,APPROVED,TAX-98172
S.No 310/4,Residential,APPROVED,TAX-66434
S.No 310/5,Commercial,APPROVED,TAX-78767
S.No 311/1,Commercial,PENDING_APPROVAL,TAX-62241
S.No 311/2,Commercial,PENDING_APPROVAL,TAX-50021
S.No 311/3,Residential,APPROVED,TAX-57349
S.No 311/4,Waterbody_Buffer,UNAPPROVED,TAX-98567
S.No 311/5,Agricultural,APPROVED,TAX-87143
S.No 312/1,Agricultural,APPROVED,TAX-90487
S.No 312/2,Agricultural,PENDING_APPROVAL,TAX-58552
S.No 312/3,Agricultural,APPROVED,TAX-71805
S.No 312/4,Commercial,APPROVED,TAX-64084
S.No 312/5,Residential,APPROVED,TAX-88002
S.No 313/1,Agricultural,APPROVED,TAX-77737
S.No 313/2,Agricultural,APPROVED,TAX-68559
S.No 313/3,Commercial,APPROVED,TAX-61049
S.No 313/4,Waterbody_Buffer,UNAPPROVED,TAX-74016
S.No 313/5,Waterbody_Buffer,UNAPPROVED,TAX-85336
S.No 314/1,Commercial,APPROVED,TAX-79598
S.No 314/2,Agricultural,APPROVED,TAX-97633
S.No 314/3,Waterbody_Buffer,UNAPPROVED,TAX-86810
S.No 314/4,Waterbody_Buffer,UNAPPROVED,TAX-86496
S.No 314/5,Residential,APPROVED,TAX-70442
S.No 315/1,Agricultural,APPROVED,TAX-59866
S.No 315/2,Commercial,APPROVED,TAX-75751
S.No 315/3,Waterbody_Buffer,UNAPPROVED,TAX-55884
S.No 315/4,Commercial,APPROVED,TAX-56843
S.No 315/5,Residential,PENDING_APPROVAL,TAX-50191
S.No 316/1,Residential,APPROVED,TAX-71375
S.No 316/2,Agricultural,APPROVED,TAX-98579
S.No 316/3,Waterbody_Buffer,UNAPPROVED,TAX-99324
S.No 316/4,Waterbody_Buffer,UNAPPROVED,TAX-56135
S.No 316/5,Commercial,APPROVED,TAX-93831
S.No 317/1,Agricultural,APPROVED,TAX-96703
S.No 317/2,Commercial,APPROVED,TAX-71326
S.No 317/3,Waterbody_Buffer,UNAPPROVED,TAX-57203
S.No 317/4,Waterbody_Buffer,UNAPPROVED,TAX-97710
S.No 317/5,Residential,APPROVED,TAX-80521
S.No 318/1,Residential,APPROVED,TAX-96377
S.No 318/2,Residential,APPROVED,TAX-79754
S.No 318/3,Agricultural,APPROVED,TAX-55288
S.No 318/4,Commercial,APPROVED,TAX-91105
S.No 318/5,Agricultural,APPROVED,TAX-97360
S.No 319/1,Agricultural,PENDING_APPROVAL,TAX-64717
S.No 319/2,Commercial,PENDING_APPROVAL,TAX-64346
S.No 319/3,Agricultural,APPROVED,TAX-99723
S.No 319/4,Residential,PENDING_APPROVAL,TAX-84910
S.No 319/5,Commercial,APPROVED,TAX-86762
S.No 320/1,Agricultural,APPROVED,TAX-53042
S.No 320/2,Waterbody_Buffer,UNAPPROVED,TAX-94370
S.No 320/3,Waterbody_Buffer,UNAPPROVED,TAX-81253
S.No 320/4,Agricultural,PENDING_APPROVAL,TAX-74828
S.No 320/5,Agricultural,PENDING_APPROVAL,TAX-73240
S.No 321/1,Residential,APPROVED,TAX-63345
S.No 321/2,Waterbody_Buffer,UNAPPROVED,TAX-85150
S.No 321/3,Commercial,PENDING_APPROVAL,TAX-63207
S.No 321/4,Waterbody_Buffer,UNAPPROVED,TAX-87196
S.No 321/5,Residential,APPROVED,TAX-53525
S.No 322/1,Residential,APPROVED,TAX-86473
S.No 322/2,Waterbody_Buffer,UNAPPROVED,TAX-50811
S.No 322/3,Agricultural,APPROVED,TAX-82561
S.No 322/4,Commercial,PENDING_APPROVAL,TAX-81015
S.No 322/5,Agricultural,PENDING_APPROVAL,TAX-80262
S.No 323/1,Waterbody_Buffer,UNAPPROVED,TAX-57940
S.No 323/2,Agricultural,APPROVED,TAX-79227
S.No 323/3,Agricultural,APPROVED,TAX-66879
S.No 323/4,Commercial,APPROVED,TAX-66704
S.No 323/5,Commercial,APPROVED,TAX-78116
S.No 324/1,Waterbody_Buffer,UNAPPROVED,TAX-63202
S.No 324/2,Agricultural,APPROVED,TAX-89987
S.No 324/3,Agricultural,PENDING_APPROVAL,TAX-75028
S.No 324/4,Waterbody_Buffer,UNAPPROVED,TAX-92775
S.No 324/5,Agricultural,APPROVED,TAX-51742
S.No 325/1,Residential,APPROVED,TAX-87841
S.No 325/2,Agricultural,APPROVED,TAX-79318
S.No 325/3,Residential,PENDING_APPROVAL,TAX-77507
S.No 325/4,Waterbody_Buffer,UNAPPROVED,TAX-53889
S.No 325/5,Agricultural,PENDING_APPROVAL,TAX-79076
S.No 326/1,Agricultural,APPROVED,TAX-62794
S.No 326/2,Commercial,PENDING_APPROVAL,TAX-71273
S.No 326/3,Waterbody_Buffer,UNAPPROVED,TAX-53718
S.No 326/4,Agricultural,PENDING_APPROVAL,TAX-97323
S.No 326/5,Residential,APPROVED,TAX-66708
S.No 327/1,Commercial,APPROVED,TAX-84554
S.No 327/2,Commercial,APPROVED,TAX-60308
S.No 327/3,Residential,PENDING_APPROVAL,TAX-83905
S.No 327/4,Commercial,APPROVED,TAX-97299
S.No 327/5,Waterbody_Buffer,UNAPPROVED,TAX-97851
S.No 328/1,Commercial,APPROVED,TAX-56380
S.No 328/2,Residential,PENDING_APPROVAL,TAX-90915
S.No 328/3,Agricultural,APPROVED,TAX-66341
S.No 328/4,Residential,APPROVED,TAX-62829
S.No 328/5,Commercial,PENDING_APPROVAL,TAX-94917
S.No 329/1,Commercial,APPROVED,TAX-64738
S.No 329/2,Waterbody_Buffer,UNAPPROVED,TAX-82014
S.No 329/3,Waterbody_Buffer,UNAPPROVED,TAX-69315
S.No 329/4,Waterbody_Buffer,UNAPPROVED,TAX-87710
S.No 329/5,Agricultural,PENDING_APPROVAL,TAX-71422
S.No 330/1,Residential,APPROVED,TAX-73446
S.No 330/2,Waterbody_Buffer,UNAPPROVED,TAX-84356
S.No 330/3,Waterbody_Buffer,UNAPPROVED,TAX-82679
S.No 330/4,Waterbody_Buffer,UNAPPROVED,TAX-55364
S.No 330/5,Agricultural,APPROVED,TAX-68861
S.No 331/1,Waterbody_Buffer,UNAPPROVED,TAX-87664
S.No 331/2,Commercial,APPROVED,TAX-80396
S.No 331/3,Agricultural,APPROVED,TAX-65393
S.No 331/4,Residential,APPROVED,TAX-72885
S.No 331/5,Agricultural,APPROVED,TAX-72597
S.No 332/1,Waterbody_Buffer,UNAPPROVED,TAX-54112
S.No 332/2,Agricultural,APPROVED,TAX-65513
S.No 332/3,Waterbody_Buffer,UNAPPROVED,TAX-76587
S.No 332/4,Agricultural,PENDING_APPROVAL,TAX-68957
S.No 332/5,Waterbody_Buffer,UNAPPROVED,TAX-65081
S.No 333/1,Residential,PENDING_APPROVAL,TAX-72384
S.No 333/2,Waterbody_Buffer,UNAPPROVED,TAX-98487
S.No 333/3,Residential,APPROVED,TAX-68823
S.No 333/4,Waterbody_Buffer,UNAPPROVED,TAX-65802
S.No 333/5,Residential,APPROVED,TAX-75730
S.No 334/1,Commercial,APPROVED,TAX-50830
S.No 334/2,Residential,APPROVED,TAX-55181
S.No 334/3,Commercial,PENDING_APPROVAL,TAX-79216
S.No 334/4,Waterbody_Buffer,UNAPPROVED,TAX-80412
S.No 334/5,Commercial,PENDING_APPROVAL,TAX-52171
S.No 335/1,Commercial,PENDING_APPROVAL,TAX-94250
S.No 335/2,Commercial,APPROVED,TAX-81912
S.No 335/3,Agricultural,APPROVED,TAX-66455
S.No 335/4,Waterbody_Buffer,UNAPPROVED,TAX-68267
S.No 335/5,Residential,APPROVED,TAX-65727
S.No 336/1,Commercial,APPROVED,TAX-80308
S.No 336/2,Commercial,APPROVED,TAX-78599
S.No 336/3,Residential,PENDING_APPROVAL,TAX-88748
S.No 336/4,Waterbody_Buffer,UNAPPROVED,TAX-54445
S.No 336/5,Agricultural,PENDING_APPROVAL,TAX-99381
S.No 337/1,Agricultural,APPROVED,TAX-63137
S.No 337/2,Waterbody_Buffer,UNAPPROVED,TAX-86465
S.No 337/3,Commercial,APPROVED,TAX-97803
S.No 337/4,Waterbody_Buffer,UNAPPROVED,TAX-60845
S.No 337/5,Agricultural,PENDING_APPROVAL,TAX-67854
S.No 338/1,Commercial,APPROVED,TAX-78349
S.No 338/2,Residential,APPROVED,TAX-57184
S.No 338/3,Residential,APPROVED,TAX-75607
S.No 338/4,Residential,PENDING_APPROVAL,TAX-74307
S.No 338/5,Commercial,PENDING_APPROVAL,TAX-77345
S.No 339/1,Agricultural,PENDING_APPROVAL,TAX-85520
S.No 339/2,Residential,PENDING_APPROVAL,TAX-78958
S.No 339/3,Residential,APPROVED,TAX-85016
S.No 339/4,Waterbody_Buffer,UNAPPROVED,TAX-51223
S.No 339/5,Agricultural,PENDING_APPROVAL,TAX-63356
